cell_type_clone_size,0,1,2,3,4,5,6
"Control, = 1",1.9783024888321634,1.2125079770261646,52.20165922144224,1.467772814294831,31.397574984045946,0.06381620931716657,11.67836630504148
"Control, 2-99",18.75,18.75,0.0,0.0,3.125,3.125,56.25
"b2 x 3, = 1",8.88888888888889,31.851851851851855,5.9259259259259265,34.81481481481482,13.333333333333334,4.444444444444445,0.7407407407407408
"b2 x 2 + b2:b4, = 1",9.210526315789473,35.526315789473685,5.263157894736842,32.89473684210527,13.157894736842104,2.631578947368421,1.3157894736842104
"b2 x 3, 2-99",27.680311890838205,22.612085769980506,0.4873294346978557,28.84990253411306,6.3352826510721245,13.157894736842104,0.8771929824561403
"b2 x 2 + b2:b4, 2-99",28.030303030303028,28.246753246753247,0.3246753246753247,24.675324675324674,4.761904761904762,13.528138528138529,0.4329004329004329
"b2 x 3, > 99",48.858447488584474,15.296803652968036,0.228310502283105,10.95890410958904,3.881278538812785,19.863013698630137,0.91324200913242
"b2 x 2 + b2:b4, > 99",24.540901502504173,47.412353923205345,0.0,12.85475792988314,3.8397328881469113,10.851419031719532,0.5008347245409015
